age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,y
44,blue-collar,married,secondary,no,-182,yes,yes,cellular,14,first half,10,10,-1,0,no
27,white-collar,single,tertiary,no,446,no,no,cellular,23,first half,205,3,-1,0,no
36,white-collar,divorced,secondary,no,5957,yes,no,cellular,18,second half,138,2,-1,0,no
44,white-collar,married,secondary,no,205,no,no,cellular,3,second half,289,1,-1,0,yes
50,white-collar,married,secondary,no,0,no,no,cellular,4,second half,86,4,-1,0,no
41,white-collar,divorced,tertiary,no,369,yes,no,telephone,22,second half,9,3,-1,0,no
47,white-collar,married,secondary,no,1934,no,yes,cellular,14,first half,225,1,364,1,no
32,white-collar,single,tertiary,no,259,no,no,cellular,22,second half,407,4,-1,0,no
38,white-collar,single,tertiary,no,1373,no,no,cellular,22,second half,119,4,-1,0,no
31,white-collar,single,tertiary,no,62,yes,no,cellular,18,first half,175,1,293,5,no
29,other,single,tertiary,no,991,no,no,cellular,5,first half,563,1,-1,0,no
35,other,married,secondary,no,977,yes,no,cellular,4,first half,52,4,91,1,no
40,white-collar,single,tertiary,no,2893,no,no,cellular,2,first half,76,3,-1,0,no
34,blue-collar,married,secondary,no,1897,yes,yes,cellular,19,second half,441,1,-1,0,no
32,white-collar,single,tertiary,no,5514,no,no,cellular,22,first half,319,1,182,1,yes
37,white-collar,married,secondary,no,1193,no,no,cellular,12,first half,396,2,-1,0,no
36,white-collar,single,secondary,no,0,no,no,cellular,20,first half,637,1,-1,0,no
34,white-collar,single,secondary,no,2729,yes,no,cellular,6,first half,945,1,139,1,no
50,white-collar,married,tertiary,no,-470,yes,no,cellular,8,first half,506,2,170,3,no
28,white-collar,single,tertiary,no,4579,no,no,cellular,12,first half,409,2,-1,0,yes
27,blue-collar,divorced,secondary,no,1,yes,no,cellular,14,second half,116,3,-1,0,no
37,white-collar,married,tertiary,no,5106,no,no,cellular,30,first half,244,1,-1,0,yes
31,white-collar,married,tertiary,no,636,yes,no,cellular,4,first half,352,4,-1,0,yes
34,white-collar,married,secondary,no,1076,no,no,cellular,12,first half,152,1,182,6,yes
37,white-collar,married,secondary,no,430,no,no,cellular,27,second half,154,4,-1,0,no
71,white-collar,married,tertiary,no,383,no,no,cellular,27,second half,327,2,183,3,no
27,white-collar,married,secondary,no,130,yes,no,cellular,7,first half,265,3,-1,0,no
34,white-collar,single,secondary,no,201,no,no,cellular,22,second half,257,2,-1,0,no
30,blue-collar,married,secondary,no,6,yes,no,cellular,28,first half,241,3,-1,0,no
35,white-collar,single,secondary,no,475,no,yes,cellular,21,second half,936,4,-1,0,no
33,blue-collar,single,secondary,no,706,yes,no,cellular,7,first half,329,1,322,1,no
36,white-collar,married,secondary,no,1825,yes,no,cellular,14,first half,24,1,346,1,no
59,white-collar,married,tertiary,no,185,no,no,cellular,22,first half,177,5,138,1,no
72,blue-collar,married,primary,no,4415,no,no,telephone,13,second half,120,1,-1,0,no
64,white-collar,married,tertiary,no,679,no,no,telephone,22,first half,135,3,-1,0,no
53,white-collar,divorced,secondary,no,320,no,no,cellular,9,second half,175,1,-1,0,no
35,white-collar,single,tertiary,no,2988,yes,no,cellular,25,first half,179,1,-1,0,no
40,white-collar,married,secondary,no,1270,no,no,cellular,17,first half,342,2,-1,0,no
41,white-collar,divorced,secondary,no,654,yes,no,cellular,13,first half,139,2,-1,0,no
44,white-collar,married,tertiary,no,3463,yes,yes,cellular,28,second half,210,3,-1,0,no
61,white-collar,married,tertiary,no,6016,no,no,cellular,2,first half,670,3,-1,0,yes
28,white-collar,married,tertiary,no,3694,no,yes,cellular,8,second half,70,2,-1,0,no
58,other,single,secondary,no,1640,no,yes,cellular,4,first half,72,6,274,4,no
60,white-collar,divorced,secondary,no,174,yes,no,cellular,15,first half,241,1,364,1,no
66,white-collar,single,secondary,no,10177,no,no,cellular,5,first half,272,4,-1,0,no
36,white-collar,single,tertiary,no,490,no,no,cellular,28,second half,207,8,98,1,yes
49,white-collar,married,secondary,no,2576,yes,no,cellular,15,first half,64,6,-1,0,no
23,white-collar,single,secondary,no,598,no,no,cellular,30,first half,166,1,-1,0,no
29,white-collar,single,tertiary,no,15459,no,no,cellular,26,first half,245,3,97,7,no
47,blue-collar,married,primary,no,320,no,no,telephone,30,second half,203,2,-1,0,no
33,white-collar,married,tertiary,no,640,no,no,cellular,24,second half,318,1,-1,0,no
30,white-collar,married,secondary,no,1772,yes,no,cellular,13,first half,158,4,-1,0,no
27,white-collar,single,secondary,no,15,no,yes,cellular,21,second half,177,1,-1,0,no
51,blue-collar,married,secondary,no,160,yes,no,cellular,7,first half,136,1,359,1,no
32,white-collar,divorced,secondary,yes,5,yes,yes,cellular,18,first half,82,3,363,2,no
33,white-collar,married,secondary,no,4902,yes,no,cellular,20,second half,110,1,-1,0,no
75,other,divorced,secondary,no,1341,no,no,cellular,18,second half,415,7,-1,0,yes
37,white-collar,divorced,secondary,no,490,yes,no,cellular,2,first half,73,1,-1,0,no
32,white-collar,married,secondary,no,-632,yes,yes,cellular,20,first half,18,5,-1,0,no
32,white-collar,single,secondary,no,116,no,yes,cellular,16,second half,255,2,-1,0,no
35,white-collar,married,primary,no,189,yes,no,cellular,11,first half,95,1,-1,0,no
31,blue-collar,married,primary,no,2,yes,yes,cellular,10,second half,112,1,-1,0,no
28,blue-collar,single,secondary,no,4229,yes,yes,cellular,5,first half,205,2,-1,0,no
27,white-collar,married,secondary,no,54,yes,no,cellular,18,first half,97,1,370,1,no
35,blue-collar,married,primary,no,298,yes,no,cellular,13,first half,135,2,370,2,no
69,other,married,primary,no,579,no,no,cellular,14,second half,230,1,-1,0,no
37,white-collar,single,tertiary,no,1467,yes,yes,cellular,17,second half,349,1,-1,0,no
45,white-collar,single,secondary,no,0,yes,no,cellular,8,first half,38,1,-1,0,no
47,white-collar,married,tertiary,no,109,yes,no,cellular,22,second half,268,1,-1,0,no
52,white-collar,married,tertiary,no,-11,yes,no,cellular,11,first half,94,4,-1,0,no
33,white-collar,married,secondary,no,90,yes,no,cellular,28,second half,263,2,-1,0,no
60,blue-collar,married,primary,no,493,no,no,cellular,18,second half,671,4,-1,0,yes
44,white-collar,married,secondary,no,2403,yes,no,cellular,28,first half,180,2,-1,0,no
38,white-collar,married,secondary,no,868,no,no,cellular,20,second half,452,2,-1,0,no
32,other,divorced,primary,no,0,no,no,cellular,15,second half,175,4,-1,0,no
33,white-collar,married,secondary,no,0,yes,yes,cellular,19,second half,163,2,-1,0,no
48,blue-collar,married,secondary,no,741,yes,no,cellular,16,first half,227,1,-1,0,no
37,white-collar,single,secondary,no,1050,yes,no,cellular,3,first half,586,3,-1,0,no
33,white-collar,single,secondary,no,-56,no,yes,cellular,10,second half,119,5,-1,0,no
30,blue-collar,married,primary,no,1,yes,yes,telephone,22,second half,80,2,-1,0,no
43,blue-collar,married,primary,no,-98,yes,yes,cellular,12,first half,112,2,330,3,no
54,other,married,primary,no,541,yes,no,cellular,3,first half,237,3,-1,0,no
31,other,married,tertiary,no,7744,no,no,cellular,26,second half,377,8,-1,0,no
36,other,married,secondary,no,-129,yes,no,cellular,29,second half,121,3,-1,0,no
30,white-collar,married,secondary,no,0,no,no,cellular,15,second half,127,5,-1,0,no
35,white-collar,divorced,secondary,no,0,no,no,cellular,25,second half,124,4,-1,0,no
43,blue-collar,divorced,primary,no,-97,yes,yes,cellular,31,second half,747,4,-1,0,no
41,blue-collar,married,secondary,no,-217,yes,no,cellular,11,first half,313,1,349,3,no
41,white-collar,divorced,tertiary,no,5037,no,no,cellular,23,first half,252,9,185,5,yes
46,white-collar,divorced,secondary,no,2232,no,no,cellular,13,first half,121,1,-1,0,yes
32,white-collar,married,tertiary,no,913,yes,no,cellular,23,first half,883,1,674,4,no
40,white-collar,married,primary,no,0,yes,no,cellular,11,second half,271,2,-1,0,no
27,white-collar,married,secondary,no,639,no,yes,cellular,14,second half,243,3,-1,0,no
54,white-collar,married,secondary,no,386,yes,no,cellular,2,second half,155,2,-1,0,no
32,white-collar,single,tertiary,no,1218,yes,no,telephone,28,first half,70,2,-1,0,no
31,white-collar,married,tertiary,no,2603,yes,no,cellular,11,first half,280,4,-1,0,yes
34,blue-collar,married,primary,no,79,yes,no,cellular,14,first half,406,2,-1,0,no
55,white-collar,divorced,secondary,no,61,yes,yes,cellular,25,second half,113,3,-1,0,no
49,white-collar,married,secondary,no,1091,no,no,telephone,30,second half,47,2,-1,0,no
24,white-collar,single,tertiary,no,172,no,no,cellular,3,second half,67,2,-1,0,no
32,white-collar,single,tertiary,no,41,no,no,cellular,21,second half,686,5,-1,0,yes
25,other,single,secondary,no,1116,yes,no,cellular,2,first half,170,3,-1,0,no
59,other,divorced,secondary,no,5845,no,no,cellular,14,first half,1060,2,-1,0,yes
49,white-collar,married,secondary,no,5673,no,yes,cellular,4,second half,357,3,-1,0,no
48,white-collar,married,tertiary,no,0,no,no,telephone,26,second half,176,15,-1,0,no
31,white-collar,married,secondary,no,625,yes,no,cellular,7,first half,424,1,138,1,no
51,white-collar,married,secondary,no,867,yes,no,cellular,3,first half,177,2,211,3,no
80,other,married,secondary,no,8304,no,no,telephone,9,first half,712,1,64,12,yes
30,white-collar,married,tertiary,no,3134,yes,no,cellular,17,second half,124,1,-1,0,no
27,white-collar,single,secondary,no,49,yes,no,cellular,30,first half,208,2,-1,0,no
34,white-collar,married,secondary,no,-346,no,no,cellular,13,second half,136,4,-1,0,no
49,white-collar,married,secondary,no,1623,yes,no,cellular,19,second half,1081,2,-1,0,yes
48,white-collar,married,tertiary,no,60,no,no,telephone,7,first half,376,2,339,7,no
40,white-collar,married,secondary,no,17,no,no,cellular,4,first half,78,1,-1,0,no
38,blue-collar,married,secondary,no,2008,yes,no,cellular,18,second half,354,1,-1,0,no
46,blue-collar,married,primary,no,91,yes,no,cellular,6,first half,29,1,356,2,no
41,white-collar,married,tertiary,no,171,yes,no,cellular,19,second half,209,1,191,4,no
28,white-collar,single,tertiary,no,1027,yes,no,cellular,14,first half,433,1,-1,0,no
33,blue-collar,divorced,primary,no,142,yes,no,telephone,11,first half,41,2,300,5,no
34,white-collar,single,secondary,no,852,no,no,cellular,14,first half,108,2,-1,0,no
27,blue-collar,married,secondary,yes,-584,yes,no,cellular,7,first half,411,2,-1,0,no
42,white-collar,married,secondary,no,97,no,no,cellular,10,second half,108,2,-1,0,no
45,white-collar,married,secondary,no,204,yes,no,cellular,3,first half,224,2,-1,0,yes
26,blue-collar,single,secondary,no,856,yes,yes,cellular,30,second half,95,5,-1,0,no
40,white-collar,single,tertiary,no,1509,no,no,cellular,15,first half,144,2,124,1,no
52,white-collar,married,secondary,no,-888,no,no,cellular,16,second half,135,1,-1,0,no
40,white-collar,single,tertiary,no,226,no,no,cellular,15,first half,176,2,-1,0,no
48,white-collar,married,secondary,no,127,no,yes,cellular,7,second half,524,5,-1,0,no
27,white-collar,married,secondary,no,710,yes,yes,cellular,6,first half,653,1,334,2,yes
28,white-collar,single,secondary,no,171,no,no,cellular,10,first half,93,1,-1,0,yes
40,white-collar,divorced,tertiary,no,69,yes,no,cellular,6,first half,503,2,280,2,no
34,white-collar,married,secondary,no,1499,yes,no,cellular,13,first half,186,1,327,2,no
36,white-collar,married,tertiary,no,61,no,yes,cellular,19,second half,452,2,-1,0,no
83,other,married,primary,no,425,no,no,telephone,22,first half,883,1,140,1,yes
43,white-collar,divorced,tertiary,no,99,no,no,cellular,29,first half,24,3,-1,0,no
23,other,single,secondary,no,1021,no,no,telephone,19,first half,79,9,-1,0,no
44,white-collar,married,tertiary,no,1146,no,no,cellular,4,second half,178,2,-1,0,no
58,blue-collar,married,primary,no,781,yes,no,cellular,15,first half,74,2,-1,0,no
29,white-collar,single,secondary,no,1448,no,no,cellular,10,first half,217,1,184,7,no
30,white-collar,single,tertiary,no,604,no,yes,cellular,2,first half,475,1,-1,0,no
29,white-collar,single,secondary,no,-194,yes,no,cellular,7,first half,127,1,-1,0,no
41,white-collar,married,secondary,no,0,no,no,cellular,11,first half,101,1,-1,0,no
35,other,married,primary,no,0,yes,no,cellular,14,second half,340,3,-1,0,no
31,white-collar,single,secondary,no,1014,yes,no,cellular,23,second half,158,4,-1,0,no
27,white-collar,single,tertiary,no,73,no,no,cellular,29,first half,242,1,-1,0,no
34,white-collar,married,tertiary,no,1906,yes,no,cellular,14,second half,68,3,-1,0,no
34,blue-collar,married,primary,no,-319,yes,yes,cellular,9,second half,134,4,-1,0,no
36,white-collar,married,tertiary,no,-296,yes,no,cellular,14,first half,113,3,-1,0,no
40,white-collar,married,secondary,no,169,yes,no,cellular,18,second half,43,4,-1,0,no
28,white-collar,single,secondary,no,126,no,no,cellular,3,first half,229,1,-1,0,no
56,blue-collar,married,primary,no,379,no,no,cellular,13,second half,58,5,-1,0,no
45,white-collar,married,secondary,no,706,no,no,cellular,30,first half,78,2,176,1,no
28,white-collar,single,tertiary,no,1466,yes,no,cellular,25,second half,40,1,-1,0,no
36,blue-collar,married,primary,no,0,yes,no,cellular,18,second half,618,2,-1,0,no
41,blue-collar,married,primary,no,951,yes,no,cellular,20,first half,23,4,-1,0,no
46,white-collar,married,secondary,no,368,no,no,cellular,20,second half,293,1,90,4,yes
41,blue-collar,married,secondary,no,121,yes,no,cellular,13,first half,16,6,176,5,no
59,white-collar,married,secondary,no,204,no,no,cellular,23,second half,286,2,-1,0,no
24,white-collar,married,secondary,no,299,yes,no,cellular,6,first half,209,1,321,1,no
50,white-collar,married,secondary,no,254,yes,no,cellular,15,first half,397,2,337,1,no
25,white-collar,single,tertiary,no,553,yes,no,cellular,17,second half,113,4,479,1,no
51,white-collar,divorced,secondary,no,518,yes,no,telephone,17,second half,76,1,-1,0,no
50,white-collar,married,tertiary,no,85,no,yes,cellular,1,first half,141,1,-1,0,no
21,white-collar,single,secondary,no,361,no,no,telephone,5,first half,329,1,95,1,no
55,other,married,primary,no,4424,no,no,cellular,5,second half,67,4,-1,0,no
38,white-collar,married,tertiary,no,3234,no,no,cellular,18,second half,578,2,-1,0,yes
34,white-collar,single,secondary,no,341,no,yes,cellular,29,first half,136,1,262,3,no
33,white-collar,single,tertiary,no,316,no,no,cellular,21,second half,126,3,-1,0,no
35,white-collar,married,secondary,no,2,no,no,telephone,28,first half,653,3,-1,0,no
48,white-collar,divorced,tertiary,no,507,yes,no,cellular,9,first half,528,1,-1,0,no
29,blue-collar,married,secondary,no,912,yes,no,cellular,13,first half,785,1,-1,0,no
50,white-collar,married,tertiary,no,0,no,no,cellular,9,second half,243,5,-1,0,no
37,blue-collar,married,primary,no,37,yes,no,cellular,13,first half,24,2,362,1,no
35,blue-collar,single,secondary,no,0,yes,no,cellular,16,first half,1174,1,345,4,yes
42,blue-collar,married,primary,no,1520,yes,no,cellular,5,first half,115,1,-1,0,no
75,other,divorced,primary,no,852,no,no,cellular,15,first half,341,1,-1,0,no
38,white-collar,single,secondary,no,2253,yes,no,cellular,13,first half,937,3,-1,0,yes
34,white-collar,single,tertiary,no,1171,yes,no,cellular,10,second half,129,1,-1,0,no
29,white-collar,single,tertiary,no,452,yes,no,cellular,11,first half,59,1,-1,0,no
28,white-collar,married,secondary,no,-97,yes,no,cellular,29,first half,79,1,225,2,no
79,other,married,secondary,no,4738,no,no,telephone,9,second half,151,5,-1,0,no
32,other,single,tertiary,no,0,no,no,cellular,6,second half,101,5,3,6,no
36,white-collar,married,tertiary,no,495,no,no,cellular,5,second half,157,3,97,2,yes
38,white-collar,married,secondary,no,157,no,yes,cellular,15,first half,57,11,366,1,no
42,white-collar,married,secondary,no,292,yes,no,cellular,11,first half,222,3,-1,0,no
34,white-collar,single,secondary,no,846,yes,no,cellular,17,first half,758,2,-1,0,no
64,other,married,secondary,no,1574,no,no,telephone,29,second half,301,3,-1,0,yes
34,white-collar,married,tertiary,no,-28,yes,no,cellular,16,second half,574,1,-1,0,no
77,other,married,tertiary,no,0,no,no,cellular,16,second half,847,1,60,1,yes
57,other,married,primary,no,2927,no,yes,telephone,30,second half,78,5,-1,0,no
73,other,married,primary,no,1388,no,no,cellular,20,second half,146,3,190,3,no
39,white-collar,single,secondary,no,102,yes,no,cellular,14,second half,272,2,-1,0,no
57,white-collar,divorced,primary,no,13,yes,no,cellular,8,first half,323,2,368,2,no
32,white-collar,married,secondary,no,413,yes,no,cellular,11,second half,712,2,-1,0,no
45,white-collar,married,secondary,no,638,yes,no,cellular,20,second half,75,9,-1,0,no
31,white-collar,married,tertiary,no,1224,yes,yes,cellular,24,second half,1441,2,-1,0,yes
49,white-collar,married,secondary,no,1103,no,no,cellular,12,second half,428,2,-1,0,no
29,white-collar,married,secondary,no,3748,no,no,cellular,28,first half,322,3,-1,0,no
55,white-collar,married,secondary,no,955,yes,no,cellular,29,first half,104,1,-1,0,no
30,white-collar,married,secondary,no,518,yes,no,cellular,8,first half,127,1,-1,0,no
39,white-collar,married,tertiary,no,14,no,no,cellular,28,first half,114,2,-1,0,no
33,white-collar,married,tertiary,no,3696,no,no,cellular,19,second half,305,1,182,3,no
36,white-collar,married,tertiary,no,2987,yes,no,cellular,12,second half,307,1,-1,0,yes
31,white-collar,single,secondary,no,433,no,no,cellular,11,second half,1504,2,-1,0,no
38,white-collar,single,tertiary,no,0,yes,no,cellular,1,first half,71,1,-1,0,no
31,blue-collar,married,secondary,no,1766,no,yes,cellular,5,first half,166,2,-1,0,yes
39,white-collar,married,secondary,no,124,yes,no,cellular,31,second half,81,5,-1,0,no
33,white-collar,married,tertiary,no,69,no,yes,cellular,4,first half,77,2,-1,0,no
53,white-collar,divorced,secondary,no,0,no,no,cellular,12,first half,80,2,-1,0,yes
38,white-collar,married,tertiary,no,0,yes,no,cellular,13,first half,537,5,303,2,no
59,white-collar,married,secondary,no,259,no,no,cellular,15,first half,415,1,89,1,yes
55,blue-collar,married,primary,no,4103,no,no,cellular,19,second half,291,1,-1,0,no
38,white-collar,single,tertiary,no,744,yes,no,cellular,14,first half,283,1,288,12,no
48,white-collar,married,secondary,no,116,yes,no,telephone,20,first half,70,4,-1,0,no
44,white-collar,divorced,secondary,no,432,no,no,cellular,9,first half,132,3,-1,0,no
29,blue-collar,single,secondary,no,9,yes,no,cellular,11,first half,262,3,-1,0,no
35,white-collar,single,tertiary,no,7546,yes,no,cellular,28,second half,137,1,122,3,no
31,blue-collar,married,primary,no,620,no,no,cellular,30,first half,95,1,-1,0,no
35,white-collar,married,tertiary,no,8647,no,no,cellular,19,second half,140,2,-1,0,no
39,blue-collar,married,secondary,no,0,yes,no,cellular,7,first half,502,1,7,2,no
29,white-collar,single,secondary,no,113,no,no,cellular,12,first half,328,2,183,4,yes
33,white-collar,married,primary,no,82,yes,no,cellular,18,second half,63,2,-1,0,no
46,white-collar,married,tertiary,no,1008,no,no,cellular,29,second half,24,13,-1,0,no
26,white-collar,single,secondary,no,443,no,no,cellular,30,second half,84,3,-1,0,no
41,white-collar,married,secondary,no,351,yes,no,cellular,9,second half,175,1,-1,0,no
34,white-collar,married,tertiary,no,5060,yes,no,cellular,21,second half,12,21,-1,0,no
39,white-collar,single,tertiary,no,-41,no,yes,cellular,25,second half,40,15,-1,0,no
27,white-collar,single,secondary,no,-124,no,no,cellular,18,second half,217,1,-1,0,no
31,blue-collar,married,secondary,no,79,yes,yes,cellular,23,second half,235,11,-1,0,no
44,other,single,secondary,no,3945,no,no,cellular,28,first half,255,1,-1,0,no
55,other,married,tertiary,no,197,no,yes,cellular,8,second half,256,1,-1,0,no
51,blue-collar,divorced,primary,no,837,no,no,telephone,30,second half,41,2,-1,0,no
30,white-collar,married,secondary,no,1743,yes,no,cellular,5,first half,192,4,-1,0,no
49,white-collar,married,secondary,no,635,no,no,cellular,25,second half,220,3,-1,0,no
56,other,married,secondary,no,-113,yes,yes,cellular,12,second half,614,2,-1,0,no
47,white-collar,divorced,secondary,no,225,no,no,cellular,28,second half,1126,4,-1,0,yes
30,white-collar,married,secondary,no,124,no,no,telephone,16,first half,161,2,-1,0,no
36,white-collar,single,secondary,no,475,no,no,cellular,25,second half,141,3,-1,0,no
40,white-collar,married,tertiary,no,-7,no,yes,telephone,25,second half,697,1,-1,0,no
42,white-collar,divorced,secondary,no,936,no,no,cellular,30,first half,931,1,-1,0,yes
45,white-collar,married,secondary,no,1415,yes,no,cellular,17,second half,483,1,116,1,no
34,other,single,secondary,no,0,no,no,cellular,17,second half,63,2,-1,0,no
27,white-collar,single,secondary,no,3638,no,no,cellular,11,second half,271,5,-1,0,no
30,blue-collar,married,secondary,no,-99,yes,no,cellular,15,first half,144,5,-1,0,no
32,white-collar,married,secondary,no,167,yes,yes,cellular,8,second half,79,3,-1,0,no
46,other,married,primary,no,19,yes,no,telephone,21,second half,171,1,-1,0,no
29,white-collar,married,tertiary,no,242,yes,no,cellular,18,second half,73,4,-1,0,no
32,white-collar,married,secondary,no,286,no,no,cellular,20,first half,60,1,343,4,no
35,white-collar,married,tertiary,no,93,no,no,cellular,4,first half,198,2,88,1,no
38,blue-collar,married,secondary,no,1663,yes,no,cellular,13,first half,217,3,327,1,no
39,white-collar,married,primary,no,238,yes,yes,cellular,19,second half,134,1,-1,0,no
34,white-collar,single,secondary,no,2178,yes,no,cellular,26,first half,41,1,-1,0,no
42,blue-collar,married,primary,no,792,yes,yes,cellular,19,second half,611,2,175,12,no
60,white-collar,married,secondary,no,1025,no,no,cellular,6,second half,388,8,-1,0,no
31,blue-collar,single,secondary,no,16,no,no,cellular,7,second half,387,1,-1,0,no
29,white-collar,single,secondary,no,417,no,no,cellular,7,second half,90,1,-1,0,no
41,white-collar,married,secondary,no,3992,yes,no,telephone,20,second half,281,2,-1,0,no
46,blue-collar,married,primary,no,2749,yes,no,cellular,17,second half,332,1,-1,0,no
33,white-collar,married,secondary,no,133,no,no,cellular,4,first half,218,1,-1,0,yes
54,white-collar,divorced,tertiary,no,2171,yes,yes,telephone,18,second half,1034,1,-1,0,yes
37,white-collar,married,secondary,no,4760,yes,no,cellular,8,first half,182,2,169,2,no
32,white-collar,single,secondary,no,2979,no,no,cellular,25,first half,156,1,-1,0,no
43,white-collar,married,tertiary,no,690,yes,no,cellular,6,second half,171,3,-1,0,no
50,blue-collar,divorced,secondary,no,203,yes,no,telephone,19,second half,265,1,127,4,no
34,blue-collar,married,secondary,no,322,yes,no,cellular,20,first half,10,3,-1,0,no
31,white-collar,divorced,secondary,no,1210,no,no,cellular,16,second half,350,1,-1,0,no
43,white-collar,married,secondary,no,634,yes,no,cellular,17,second half,65,1,131,1,no
49,white-collar,married,secondary,no,273,no,no,cellular,23,second half,58,1,-1,0,no
35,white-collar,married,tertiary,no,1100,no,yes,cellular,29,first half,127,2,-1,0,no
56,white-collar,married,secondary,no,0,yes,no,telephone,19,second half,154,2,-1,0,no
53,blue-collar,married,secondary,no,0,no,no,telephone,31,second half,36,4,-1,0,no
54,white-collar,married,tertiary,no,1544,no,yes,cellular,5,first half,85,7,196,3,no
41,white-collar,married,secondary,no,28,yes,no,cellular,11,first half,49,1,-1,0,no
40,blue-collar,married,secondary,no,1012,yes,no,cellular,6,first half,410,1,-1,0,no
33,blue-collar,married,primary,no,245,yes,yes,cellular,8,first half,253,3,-1,0,no
33,white-collar,single,tertiary,no,1998,no,no,cellular,19,second half,570,1,-1,0,no
34,blue-collar,married,secondary,no,3990,yes,no,cellular,24,second half,633,7,-1,0,no
34,white-collar,married,tertiary,no,412,yes,yes,cellular,8,second half,164,1,-1,0,no
28,other,single,tertiary,no,1562,no,no,cellular,15,first half,659,4,-1,0,yes
29,white-collar,single,secondary,no,3432,yes,no,cellular,17,first half,139,2,-1,0,no
52,white-collar,married,tertiary,no,1339,yes,no,cellular,22,second half,343,5,-1,0,no
55,white-collar,married,secondary,no,204,no,no,cellular,14,second half,455,13,-1,0,no
45,other,divorced,secondary,no,728,yes,yes,cellular,18,second half,107,1,-1,0,no
51,white-collar,married,tertiary,no,2934,yes,no,cellular,18,second half,727,4,-1,0,no
34,white-collar,married,tertiary,no,176,no,no,cellular,18,second half,61,4,-1,0,no
36,blue-collar,married,primary,no,49,yes,no,cellular,15,first half,232,2,365,5,no
37,blue-collar,married,secondary,no,2023,yes,no,cellular,10,second half,214,1,-1,0,no
50,blue-collar,married,secondary,no,372,yes,no,telephone,11,first half,21,1,-1,0,no
34,blue-collar,single,primary,no,464,yes,no,cellular,18,first half,173,1,299,2,no
48,white-collar,married,secondary,no,117,yes,no,cellular,16,first half,635,1,-1,0,no
47,white-collar,married,secondary,no,104,yes,yes,cellular,14,second half,77,2,-1,0,no
37,white-collar,married,tertiary,no,539,no,no,cellular,18,first half,540,2,115,3,no
29,white-collar,single,tertiary,no,406,yes,no,cellular,17,second half,119,1,-1,0,no
46,blue-collar,married,primary,no,2558,yes,no,telephone,20,second half,107,1,167,1,no
42,blue-collar,married,secondary,no,5639,yes,no,cellular,17,second half,430,2,-1,0,no
42,white-collar,single,tertiary,no,100,no,no,cellular,7,second half,64,2,-1,0,no
37,white-collar,single,tertiary,no,815,yes,no,cellular,7,first half,77,1,-1,0,no
70,other,married,secondary,no,2815,no,no,cellular,26,first half,125,2,182,1,no
50,white-collar,married,secondary,no,1572,yes,no,cellular,9,second half,185,1,-1,0,no
60,other,divorced,secondary,no,385,yes,no,cellular,4,first half,80,1,-1,0,no
32,white-collar,single,secondary,no,29,no,no,cellular,19,second half,156,2,-1,0,no
32,white-collar,married,secondary,no,84,no,yes,cellular,29,second half,403,3,-1,0,no
34,white-collar,single,tertiary,no,876,yes,no,cellular,17,second half,145,2,-1,0,no
48,white-collar,single,primary,no,1499,yes,no,cellular,12,first half,17,7,-1,0,no
25,other,married,tertiary,no,0,yes,no,cellular,9,second half,160,1,-1,0,no
32,white-collar,married,secondary,no,6217,yes,yes,cellular,18,second half,486,2,181,2,no
32,blue-collar,married,primary,no,329,yes,no,cellular,3,first half,321,1,-1,0,no
49,white-collar,single,tertiary,no,151,yes,no,cellular,8,second half,97,3,-1,0,yes
53,white-collar,married,secondary,no,-2,yes,yes,cellular,16,first half,144,2,-1,0,no
47,white-collar,divorced,tertiary,no,1149,no,yes,cellular,15,second half,82,2,-1,0,no
33,white-collar,single,secondary,no,8004,no,no,cellular,19,second half,414,3,-1,0,no
49,blue-collar,married,primary,no,1019,yes,no,cellular,16,first half,285,5,-1,0,no
46,white-collar,divorced,tertiary,no,1297,no,no,cellular,11,second half,716,3,-1,0,yes
34,white-collar,married,tertiary,no,417,yes,no,cellular,18,second half,138,1,-1,0,no
60,other,married,primary,no,71,no,no,cellular,10,second half,121,3,-1,0,no
43,white-collar,married,tertiary,no,1188,no,no,cellular,27,first half,140,2,-1,0,no
50,blue-collar,married,primary,no,8139,yes,no,cellular,18,second half,256,6,-1,0,no
33,blue-collar,married,secondary,no,249,yes,no,cellular,31,second half,61,4,-1,0,no
37,blue-collar,married,primary,no,689,yes,no,cellular,14,second half,367,2,-1,0,no
55,white-collar,married,secondary,no,203,yes,no,telephone,14,first half,9,5,174,12,no
45,blue-collar,single,primary,yes,-183,no,yes,cellular,15,second half,395,4,-1,0,no
47,blue-collar,married,primary,no,3451,no,yes,cellular,21,second half,125,2,-1,0,no
36,white-collar,married,secondary,no,1746,yes,no,cellular,7,first half,15,1,316,1,no
38,white-collar,married,secondary,no,821,yes,yes,cellular,17,second half,224,2,180,1,no
39,blue-collar,married,secondary,no,8,no,no,cellular,30,second half,88,3,-1,0,no
41,white-collar,married,secondary,no,55,yes,no,cellular,6,second half,185,4,-1,0,no
59,blue-collar,married,primary,no,699,no,no,cellular,28,first half,98,1,154,6,no
42,other,divorced,secondary,no,759,no,no,cellular,28,first half,97,1,169,3,no
33,blue-collar,married,secondary,no,687,yes,no,cellular,14,first half,72,2,370,1,no
53,other,married,secondary,no,4968,no,no,cellular,6,first half,109,1,87,2,no
